| Classe HTML | Présente dans le CSS | Détails |
|---|---|---|
| .${iconClass} | ❌ Non | Aucune définition trouvée |
| .-translate-x-1/2 | ✅ Oui | Définition trouvée |
| .-translate-y-1/2 | ✅ Oui | Définition trouvée |
| .absolute | ✅ Oui | Définition trouvée |
| .active | ❌ Non | Aucune définition trouvée |
| .animate-bounce | ✅ Oui | Définition trouvée |
| .antialiased | ✅ Oui | Définition trouvée |
| .appearance-none | ✅ Oui | Définition trouvée |
| .backdrop-blur-lg | ✅ Oui | Définition trouvée |
| .backdrop-blur-md | ✅ Oui | Définition trouvée |
| .backdrop-blur-sm | ✅ Oui | Définition trouvée |
| .bg-[#1DB954] | ✅ Oui | Définition trouvée |
| .bg-[#FEAA2D] | ✅ Oui | Définition trouvée |
| .bg-[#a37b73] | ✅ Oui | Définition trouvée |
| .bg-[#a37b73]/10 | ❌ Non | Aucune définition trouvée |
| .bg-black | ✅ Oui | Définition trouvée |
| .bg-black/30 | ❌ Non | Aucune définition trouvée |
| .bg-black/5 | ✅ Oui | Définition trouvée |
| .bg-black/60 | ✅ Oui | Définition trouvée |
| .bg-custom-dark | ✅ Oui | Définition trouvée |
| .bg-gray-100/60 | ✅ Oui | Définition trouvée |
| .bg-opacity-40 | ✅ Oui | Définition trouvée |
| .bg-opacity-50 | ✅ Oui | Définition trouvée |
| .bg-white/15 | ✅ Oui | Définition trouvée |
| .bg-white/30 | ✅ Oui | Définition trouvée |
| .bg-white/40 | ✅ Oui | Définition trouvée |
| .bg-white/50 | ✅ Oui | Définition trouvée |
| .bg-white/70 | ✅ Oui | Définition trouvée |
| .bg-white/80 | ✅ Oui | Définition trouvée |
| .block | ✅ Oui | Définition trouvée |
| .border | ✅ Oui | Définition trouvée |
| .border-0 | ✅ Oui | Définition trouvée |
| .border-4 | ✅ Oui | Définition trouvée |
| .border-[#a37b73]/20 | ❌ Non | Aucune définition trouvée |
| .border-b | ❌ Non | Aucune définition trouvée |
| .border-gray-200/80 | ✅ Oui | Définition trouvée |
| .border-t | ✅ Oui | Définition trouvée |
| .border-transparent | ✅ Oui | Définition trouvée |
| .border-white/20 | ✅ Oui | Définition trouvée |
| .border-white/30 | ✅ Oui | Définition trouvée |
| .border-white/50 | ✅ Oui | Définition trouvée |
| .bottom-0 | ✅ Oui | Définition trouvée |
| .bottom-10 | ✅ Oui | Définition trouvée |
| .btn-mobile-feedback | ✅ Oui | Définition trouvée |
| .card | ✅ Oui | Définition trouvée |
| .card-image-placeholder | ❌ Non | Aucune définition trouvée |
| .card-sexo | ✅ Oui | Définition trouvée |
| .card-sexo-stack | ✅ Oui | Définition trouvée |
| .col-span-full | ✅ Oui | Définition trouvée |
| .container | ✅ Oui | Définition trouvée |
| .cursor-pointer | ✅ Oui | Définition trouvée |
| .custom-range | ❌ Non | Aucune définition trouvée |
| .custom-spinner | ✅ Oui | Définition trouvée |
| .drop-shadow-md | ✅ Oui | Définition trouvée |
| .dropdown-content | ✅ Oui | Définition trouvée |
| .duration-200 | ✅ Oui | Définition trouvée |
| .duration-300 | ✅ Oui | Définition trouvée |
| .ease-in-out | ✅ Oui | Définition trouvée |
| .email | ❌ Non | Aucune définition trouvée |
| .fa-apple | ❌ Non | Aucune définition trouvée |
| .fa-bars | ❌ Non | Aucune définition trouvée |
| .fa-book-open | ❌ Non | Aucune définition trouvée |
| .fa-brands | ❌ Non | Aucune définition trouvée |
| .fa-check-circle | ❌ Non | Aucune définition trouvée |
| .fa-chevron-left | ❌ Non | Aucune définition trouvée |
| .fa-chevron-right | ❌ Non | Aucune définition trouvée |
| .fa-copy | ❌ Non | Aucune définition trouvée |
| .fa-deezer | ❌ Non | Aucune définition trouvée |
| .fa-download | ❌ Non | Aucune définition trouvée |
| .fa-envelope | ❌ Non | Aucune définition trouvée |
| .fa-exclamation-triangle | ❌ Non | Aucune définition trouvée |
| .fa-google | ❌ Non | Aucune définition trouvée |
| .fa-instagram | ❌ Non | Aucune définition trouvée |
| .fa-linkedin-in | ❌ Non | Aucune définition trouvée |
| .fa-list | ❌ Non | Aucune définition trouvée |
| .fa-map-marked-alt | ❌ Non | Aucune définition trouvée |
| .fa-map-marker-alt | ❌ Non | Aucune définition trouvée |
| .fa-microsoft | ❌ Non | Aucune définition trouvée |
| .fa-play | ❌ Non | Aucune définition trouvée |
| .fa-redo-alt | ❌ Non | Aucune définition trouvée |
| .fa-shield-alt | ❌ Non | Aucune définition trouvée |
| .fa-spin | ❌ Non | Aucune définition trouvée |
| .fa-spinner | ❌ Non | Aucune définition trouvée |
| .fa-spotify | ❌ Non | Aucune définition trouvée |
| .fa-times | ❌ Non | Aucune définition trouvée |
| .fa-undo-alt | ❌ Non | Aucune définition trouvée |
| .fa-volume-down | ❌ Non | Aucune définition trouvée |
| .fa-volume-up | ❌ Non | Aucune définition trouvée |
| .fa-yahoo | ❌ Non | Aucune définition trouvée |
| .fab | ❌ Non | Aucune définition trouvée |
| .fade-in | ✅ Oui | Définition trouvée |
| .fas | ❌ Non | Aucune définition trouvée |
| .fixed | ✅ Oui | Définition trouvée |
| .flex | ✅ Oui | Définition trouvée |
| .flex-1 | ✅ Oui | Définition trouvée |
| .flex-col | ✅ Oui | Définition trouvée |
| .flex-grow | ✅ Oui | Définition trouvée |
| .flex-shrink-0 | ✅ Oui | Définition trouvée |
| .flex-wrap | ✅ Oui | Définition trouvée |
| .font-bold | ✅ Oui | Définition trouvée |
| .font-light | ✅ Oui | Définition trouvée |
| .font-medium | ✅ Oui | Définition trouvée |
| .font-semibold | ✅ Oui | Définition trouvée |
| .gap-1.5 | ✅ Oui | Définition trouvée |
| .gap-2 | ✅ Oui | Définition trouvée |
| .gap-3 | ✅ Oui | Définition trouvée |
| .gap-4 | ✅ Oui | Définition trouvée |
| .gap-8 | ✅ Oui | Définition trouvée |
| .glass-effect | ✅ Oui | Définition trouvée |
| .grid | ✅ Oui | Définition trouvée |
| .grid-cols-1 | ✅ Oui | Définition trouvée |
| .grid-cols-2 | ✅ Oui | Définition trouvée |
| .group | ✅ Oui | Définition trouvée |
| .group-hover:opacity-100 | ❌ Non | Aucune définition trouvée |
| .group-hover:scale-100 | ❌ Non | Aucune définition trouvée |
| .group-hover:scale-105 | ❌ Non | Aucune définition trouvée |
| .group-hover:text-custom-accent | ❌ Non | Aucune définition trouvée |
| .h-12 | ✅ Oui | Définition trouvée |
| .h-16 | ✅ Oui | Définition trouvée |
| .h-2 | ✅ Oui | Définition trouvée |
| .h-20 | ✅ Oui | Définition trouvée |
| .h-24 | ✅ Oui | Définition trouvée |
| .h-48 | ✅ Oui | Définition trouvée |
| .h-5 | ✅ Oui | Définition trouvée |
| .h-6 | ✅ Oui | Définition trouvée |
| .h-64 | ✅ Oui | Définition trouvée |
| .h-8 | ✅ Oui | Définition trouvée |
| .h-80 | ❌ Non | Aucune définition trouvée |
| .h-9 | ✅ Oui | Définition trouvée |
| .h-full | ✅ Oui | Définition trouvée |
